Driver,Car_Number,Team,Component_Type,Count,Limit,As_Of_Race,As_Of_Date,Source_Set
LIN,41,Racing Bulls RB Ford,MGU-K,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
LIN,41,Racing Bulls RB Ford,ES,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
LIN,41,Racing Bulls RB Ford,PU-CE,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
LIN,41,Racing Bulls RB Ford,PU-ANC,1,6,Japanese Grand Prix,2026-03-28,australia-china-japan
LAW,30,Racing Bulls RB Ford,ICE,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
LAW,30,Racing Bulls RB Ford,TC,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
LAW,30,Racing Bulls RB Ford,EXH,2,4,Japanese Grand Prix,2026-03-28,australia-china-japan
LAW,30,Racing Bulls RB Ford,MGU-K,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
LAW,30,Racing Bulls RB Ford,ES,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
LAW,30,Racing Bulls RB Ford,PU-CE,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
LAW,30,Racing Bulls RB Ford,PU-ANC,1,6,Japanese Grand Prix,2026-03-28,australia-china-japan
STR,18,Aston Martin Aramco Honda,ICE,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
STR,18,Aston Martin Aramco Honda,TC,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
STR,18,Aston Martin Aramco Honda,EXH,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
STR,18,Aston Martin Aramco Honda,MGU-K,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
STR,18,Aston Martin Aramco Honda,ES,2,3,Japanese Grand Prix,2026-03-28,australia-china-japan
STR,18,Aston Martin Aramco Honda,PU-CE,2,3,Japanese Grand Prix,2026-03-28,australia-china-japan
STR,18,Aston Martin Aramco Honda,PU-ANC,3,6,Japanese Grand Prix,2026-03-28,australia-china-japan
ALO,14,Aston Martin Aramco Honda,ICE,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
ALO,14,Aston Martin Aramco Honda,TC,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
ALO,14,Aston Martin Aramco Honda,EXH,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
ALO,14,Aston Martin Aramco Honda,MGU-K,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
ALO,14,Aston Martin Aramco Honda,ES,2,3,Japanese Grand Prix,2026-03-28,australia-china-japan
ALO,14,Aston Martin Aramco Honda,PU-CE,2,3,Japanese Grand Prix,2026-03-28,australia-china-japan
ALO,14,Aston Martin Aramco Honda,PU-ANC,3,6,Japanese Grand Prix,2026-03-28,australia-china-japan
OCO,31,Haas Ferrari,ICE,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
OCO,31,Haas Ferrari,TC,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
OCO,31,Haas Ferrari,EXH,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
OCO,31,Haas Ferrari,MGU-K,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
OCO,31,Haas Ferrari,ES,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
OCO,31,Haas Ferrari,PU-CE,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
OCO,31,Haas Ferrari,PU-ANC,2,6,Japanese Grand Prix,2026-03-28,australia-china-japan
BEA,87,Haas Ferrari,ICE,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
BEA,87,Haas Ferrari,TC,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
BEA,87,Haas Ferrari,EXH,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
BEA,87,Haas Ferrari,MGU-K,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
BEA,87,Haas Ferrari,ES,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
BEA,87,Haas Ferrari,PU-CE,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
BEA,87,Haas Ferrari,PU-ANC,1,6,Japanese Grand Prix,2026-03-28,australia-china-japan
HUL,27,Audi,ICE,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
HUL,27,Audi,TC,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
HUL,27,Audi,EXH,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
HUL,27,Audi,MGU-K,2,3,Japanese Grand Prix,2026-03-28,australia-china-japan
HUL,27,Audi,ES,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
HUL,27,Audi,PU-CE,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
HUL,27,Audi,PU-ANC,1,6,Japanese Grand Prix,2026-03-28,australia-china-japan
BOR,5,Audi,ICE,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
BOR,5,Audi,TC,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
